seed,r,epsilon,low_steps,high_steps,observed_cost,candidate_sources
11,0.15,0.0001,84,10,22.6,legacy_budget;previous_experiment_grid
11,0.15,1e-05,84,18,30.6,legacy_budget;previous_experiment_grid
11,0.15,0.001,85,6,18.75,legacy_budget;previous_experiment_grid
11,0.15,0.0001,85,10,22.75,legacy_budget;previous_experiment_grid
11,0.15,1e-05,85,18,30.75,legacy_budget;previous_experiment_grid
11,0.15,0.001,128,5,24.2,power_of_two;legacy_budget;previous_experiment_grid
11,0.15,0.0001,128,10,29.2,power_of_two;legacy_budget;previous_experiment_grid
11,0.15,1e-05,128,18,37.2,power_of_two;legacy_budget;previous_experiment_grid
11,0.15,0.001,149,5,27.349999999999998,legacy_budget;previous_experiment_grid
11,0.15,0.0001,149,10,32.349999999999994,legacy_budget;previous_experiment_grid
11,0.15,1e-05,149,18,40.349999999999994,legacy_budget;previous_experiment_grid
11,0.15,0.001,150,5,27.5,legacy_budget;previous_experiment_grid
11,0.15,0.0001,150,10,32.5,legacy_budget;previous_experiment_grid
11,0.15,1e-05,150,18,40.5,legacy_budget;previous_experiment_grid
11,0.15,0.001,208,5,36.2,previous_experiment_grid;previous_online_switch_budget
11,0.15,0.0001,208,10,41.2,previous_experiment_grid;previous_online_switch_budget
11,0.15,1e-05,208,18,49.2,previous_experiment_grid;previous_online_switch_budget
11,0.15,0.001,249,5,42.35,previous_experiment_grid;previous_online_switch_budget
11,0.15,0.0001,249,10,47.35,previous_experiment_grid;previous_online_switch_budget
11,0.15,1e-05,249,18,55.35,previous_experiment_grid;previous_online_switch_budget
11,0.15,0.001,256,5,43.4,power_of_two;legacy_budget;previous_experiment_grid
11,0.15,0.0001,256,10,48.4,power_of_two;legacy_budget;previous_experiment_grid
11,0.15,1e-05,256,18,56.4,power_of_two;legacy_budget;previous_experiment_grid
11,0.15,0.001,266,5,44.9,legacy_budget;previous_experiment_grid
11,0.15,0.0001,266,10,49.9,legacy_budget;previous_experiment_grid
11,0.15,1e-05,266,18,57.9,legacy_budget;previous_experiment_grid
11,0.15,0.001,267,5,45.05,legacy_budget;previous_experiment_grid
11,0.15,0.0001,267,10,50.05,legacy_budget;previous_experiment_grid
11,0.15,1e-05,267,18,58.05,legacy_budget;previous_experiment_grid
11,0.15,0.001,290,5,48.5,previous_experiment_grid;initial_certificate_budget;previous_online_switch_budget
11,0.15,0.0001,290,10,53.5,previous_experiment_grid;initial_certificate_budget;previous_online_switch_budget
11,0.15,1e-05,290,18,61.5,previous_experiment_grid;initial_certificate_budget;previous_online_switch_budget
11,0.15,0.001,512,5,81.8,power_of_two;previous_experiment_grid
11,0.15,0.0001,512,10,86.8,power_of_two;previous_experiment_grid
11,0.15,1e-05,512,18,94.8,power_of_two;previous_experiment_grid
11,0.15,0.001,515,5,82.25,previous_experiment_grid;initial_certificate_budget
11,0.15,0.0001,515,10,87.25,previous_experiment_grid;initial_certificate_budget
11,0.15,1e-05,515,18,95.25,previous_experiment_grid;initial_certificate_budget
11,0.15,0.001,915,5,142.25,previous_experiment_grid;initial_certificate_budget
11,0.15,0.0001,915,10,147.25,previous_experiment_grid;initial_certificate_budget
11,0.15,1e-05,915,18,155.25,previous_experiment_grid;initial_certificate_budget
11,0.25,0.001,0,18,18.0,direct;legacy_budget;previous_experiment_grid
11,0.25,0.0001,0,36,36.0,direct;legacy_budget;previous_experiment_grid
11,0.25,1e-05,0,42,42.0,direct;legacy_budget;previous_experiment_grid
11,0.25,0.001,1,18,18.25,power_of_two;legacy_budget;previous_experiment_grid
11,0.25,0.0001,1,35,35.25,power_of_two;legacy_budget;previous_experiment_grid
11,0.25,1e-05,1,42,42.25,power_of_two;legacy_budget;previous_experiment_grid
11,0.25,0.001,2,17,17.5,power_of_two;legacy_budget;previous_experiment_grid
11,0.25,0.0001,2,23,23.5,power_of_two;legacy_budget;previous_experiment_grid
11,0.25,1e-05,2,42,42.5,power_of_two;legacy_budget;previous_experiment_grid
11,0.25,0.001,4,17,18.0,power_of_two;legacy_budget;previous_experiment_grid
11,0.25,0.0001,4,22,23.0,power_of_two;legacy_budget;previous_experiment_grid
11,0.25,1e-05,4,42,43.0,power_of_two;legacy_budget;previous_experiment_grid
11,0.25,0.001,8,15,17.0,power_of_two;legacy_budget;previous_experiment_grid
11,0.25,0.0001,8,20,22.0,power_of_two;legacy_budget;previous_experiment_grid
11,0.25,1e-05,8,41,43.0,power_of_two;legacy_budget;previous_experiment_grid
11,0.25,0.001,15,6,9.75,legacy_budget;previous_experiment_grid;local_refinement
11,0.25,0.0001,15,16,19.75,legacy_budget;previous_experiment_grid;local_refinement
11,0.25,1e-05,15,21,24.75,legacy_budget;previous_experiment_grid;local_refinement
11,0.25,0.001,16,5,9.0,power_of_two;legacy_budget;previous_experiment_grid
11,0.25,0.0001,16,14,18.0,power_of_two;legacy_budget;previous_experiment_grid
11,0.25,1e-05,16,20,24.0,power_of_two;legacy_budget;previous_experiment_grid
11,0.25,0.001,17,5,9.25,legacy_budget;previous_experiment_grid;local_refinement
11,0.25,0.0001,17,11,15.25,legacy_budget;previous_experiment_grid;local_refinement
11,0.25,1e-05,17,19,23.25,legacy_budget;previous_experiment_grid;local_refinement
11,0.25,0.001,18,5,9.5,previous_experiment_grid;cost_comparison_switch_budget
11,0.25,0.0001,18,9,13.5,previous_experiment_grid;cost_comparison_switch_budget
11,0.25,1e-05,18,17,21.5,previous_experiment_grid;cost_comparison_switch_budget
11,0.25,0.001,19,5,9.75,local_refinement
11,0.25,0.0001,19,8,12.75,local_refinement
11,0.25,1e-05,19,14,18.75,local_refinement
11,0.25,0.001,32,5,13.0,power_of_two;legacy_budget;previous_experiment_grid
11,0.25,0.0001,32,15,23.0,power_of_two;legacy_budget;previous_experiment_grid
11,0.25,1e-05,32,20,28.0,power_of_two;legacy_budget;previous_experiment_grid
11,0.25,0.001,37,5,14.25,cost_comparison_switch_budget
11,0.25,0.0001,37,14,23.25,cost_comparison_switch_budget
11,0.25,1e-05,37,20,29.25,cost_comparison_switch_budget
11,0.25,0.001,43,5,15.75,cost_comparison_switch_budget
11,0.25,0.0001,43,10,20.75,cost_comparison_switch_budget
11,0.25,1e-05,43,18,28.75,cost_comparison_switch_budget
11,0.25,0.001,64,5,21.0,power_of_two;legacy_budget;previous_experiment_grid
11,0.25,0.0001,64,10,26.0,power_of_two;legacy_budget;previous_experiment_grid
11,0.25,1e-05,64,18,34.0,power_of_two;legacy_budget;previous_experiment_grid
11,0.25,0.001,65,5,21.25,legacy_budget;previous_experiment_grid
11,0.25,0.0001,65,10,26.25,legacy_budget;previous_experiment_grid
11,0.25,1e-05,65,18,34.25,legacy_budget;previous_experiment_grid
11,0.25,0.001,66,5,21.5,legacy_budget;previous_experiment_grid
11,0.25,0.0001,66,10,26.5,legacy_budget;previous_experiment_grid
11,0.25,1e-05,66,18,34.5,legacy_budget;previous_experiment_grid
11,0.25,0.001,115,5,33.75,legacy_budget;previous_experiment_grid
11,0.25,0.0001,115,10,38.75,legacy_budget;previous_experiment_grid
11,0.25,1e-05,115,18,46.75,legacy_budget;previous_experiment_grid
11,0.25,0.001,116,5,34.0,legacy_budget;previous_experiment_grid
11,0.25,0.0001,116,10,39.0,legacy_budget;previous_experiment_grid
11,0.25,1e-05,116,18,47.0,legacy_budget;previous_experiment_grid
11,0.25,0.001,128,5,37.0,power_of_two;legacy_budget;previous_experiment_grid
11,0.25,0.0001,128,10,42.0,power_of_two;legacy_budget;previous_experiment_grid
11,0.25,1e-05,128,18,50.0,power_of_two;legacy_budget;previous_experiment_grid
11,0.25,0.001,186,5,51.5,previous_experiment_grid;previous_online_switch_budget
11,0.25,0.0001,186,10,56.5,previous_experiment_grid;previous_online_switch_budget
11,0.25,1e-05,186,18,64.5,previous_experiment_grid;previous_online_switch_budget
11,0.25,0.001,206,5,56.5,legacy_budget;previous_experiment_grid
11,0.25,0.0001,206,10,61.5,legacy_budget;previous_experiment_grid
11,0.25,1e-05,206,18,69.5,legacy_budget;previous_experiment_grid
11,0.25,0.001,207,5,56.75,legacy_budget;previous_experiment_grid
11,0.25,0.0001,207,10,61.75,legacy_budget;previous_experiment_grid
11,0.25,1e-05,207,18,69.75,legacy_budget;previous_experiment_grid
11,0.25,0.001,223,5,60.75,previous_experiment_grid;initial_certificate_budget
11,0.25,0.0001,223,10,65.75,previous_experiment_grid;initial_certificate_budget
11,0.25,1e-05,223,18,73.75,previous_experiment_grid;initial_certificate_budget
11,0.25,0.001,227,5,61.75,previous_experiment_grid;previous_online_switch_budget
11,0.25,0.0001,227,10,66.75,previous_experiment_grid;previous_online_switch_budget
11,0.25,1e-05,227,18,74.75,previous_experiment_grid;previous_online_switch_budget
11,0.25,0.001,256,5,69.0,power_of_two;previous_experiment_grid
11,0.25,0.0001,256,10,74.0,power_of_two;previous_experiment_grid
11,0.25,1e-05,256,18,82.0,power_of_two;previous_experiment_grid
11,0.25,0.001,268,5,72.0,previous_experiment_grid;previous_online_switch_budget
11,0.25,0.0001,268,10,77.0,previous_experiment_grid;previous_online_switch_budget
11,0.25,1e-05,268,18,85.0,previous_experiment_grid;previous_online_switch_budget
11,0.25,0.001,397,5,104.25,previous_experiment_grid;initial_certificate_budget
11,0.25,0.0001,397,10,109.25,previous_experiment_grid;initial_certificate_budget
11,0.25,1e-05,397,18,117.25,previous_experiment_grid;initial_certificate_budget
11,0.25,0.001,705,5,181.25,previous_experiment_grid;initial_certificate_budget
11,0.25,0.0001,705,10,186.25,previous_experiment_grid;initial_certificate_budget
11,0.25,1e-05,705,18,194.25,previous_experiment_grid;initial_certificate_budget
12,0.05,0.001,0,18,18.0,direct;legacy_budget;previous_experiment_grid
12,0.05,0.0001,0,36,36.0,direct;legacy_budget;previous_experiment_grid
12,0.05,1e-05,0,42,42.0,direct;legacy_budget;previous_experiment_grid
12,0.05,0.001,1,18,18.05,power_of_two;legacy_budget;previous_experiment_grid
12,0.05,0.0001,1,35,35.05,power_of_two;legacy_budget;previous_experiment_grid
12,0.05,1e-05,1,42,42.05,power_of_two;legacy_budget;previous_experiment_grid
12,0.05,0.001,2,17,17.1,power_of_two;legacy_budget;previous_experiment_grid
12,0.05,0.0001,2,23,23.1,power_of_two;legacy_budget;previous_experiment_grid
12,0.05,1e-05,2,42,42.1,power_of_two;legacy_budget;previous_experiment_grid
12,0.05,0.001,4,17,17.2,power_of_two;legacy_budget;previous_experiment_grid
12,0.05,0.0001,4,22,22.2,power_of_two;legacy_budget;previous_experiment_grid
12,0.05,1e-05,4,42,42.2,power_of_two;legacy_budget;previous_experiment_grid
12,0.05,0.001,8,15,15.4,power_of_two;legacy_budget;previous_experiment_grid
12,0.05,0.0001,8,21,21.4,power_of_two;legacy_budget;previous_experiment_grid
12,0.05,1e-05,8,41,41.4,power_of_two;legacy_budget;previous_experiment_grid
12,0.05,0.001,16,11,11.8,power_of_two;legacy_budget;previous_experiment_grid
12,0.05,0.0001,16,18,18.8,power_of_two;legacy_budget;previous_experiment_grid
12,0.05,1e-05,16,37,37.8,power_of_two;legacy_budget;previous_experiment_grid
12,0.05,0.001,29,7,8.45,local_refinement
12,0.05,0.0001,29,13,14.45,local_refinement
12,0.05,1e-05,29,18,19.45,local_refinement
12,0.05,0.001,30,7,8.5,previous_experiment_grid
12,0.05,0.0001,30,13,14.5,previous_experiment_grid
12,0.05,1e-05,30,18,19.5,previous_experiment_grid
12,0.05,0.001,31,7,8.55,legacy_budget;previous_experiment_grid;local_refinement
12,0.05,0.0001,31,13,14.55,legacy_budget;previous_experiment_grid;local_refinement
12,0.05,1e-05,31,18,19.55,legacy_budget;previous_experiment_grid;local_refinement
12,0.05,0.001,32,7,8.6,power_of_two;legacy_budget;previous_experiment_grid
12,0.05,0.0001,32,13,14.6,power_of_two;legacy_budget;previous_experiment_grid
12,0.05,1e-05,32,18,19.6,power_of_two;legacy_budget;previous_experiment_grid
12,0.05,0.001,33,7,8.65,legacy_budget;previous_experiment_grid
12,0.05,0.0001,33,13,14.65,legacy_budget;previous_experiment_grid
12,0.05,1e-05,33,19,20.65,legacy_budget;previous_experiment_grid
12,0.05,0.001,39,7,8.95,cost_comparison_switch_budget
12,0.05,0.0001,39,13,14.95,cost_comparison_switch_budget
12,0.05,1e-05,39,20,21.95,cost_comparison_switch_budget
12,0.05,0.001,44,7,9.2,cost_comparison_switch_budget
12,0.05,0.0001,44,14,16.2,cost_comparison_switch_budget
12,0.05,1e-05,44,22,24.2,cost_comparison_switch_budget
12,0.05,0.001,64,7,10.2,power_of_two;legacy_budget;previous_experiment_grid;cost_comparison_switch_budget
12,0.05,0.0001,64,14,17.2,power_of_two;legacy_budget;previous_experiment_grid;cost_comparison_switch_budget
12,0.05,1e-05,64,21,24.2,power_of_two;legacy_budget;previous_experiment_grid;cost_comparison_switch_budget
12,0.05,0.001,128,7,13.4,power_of_two;legacy_budget;previous_experiment_grid
12,0.05,0.0001,128,14,20.4,power_of_two;legacy_budget;previous_experiment_grid
12,0.05,1e-05,128,21,27.4,power_of_two;legacy_budget;previous_experiment_grid
12,0.05,0.001,142,7,14.100000000000001,legacy_budget;previous_experiment_grid
12,0.05,0.0001,142,14,21.1,legacy_budget;previous_experiment_grid
12,0.05,1e-05,142,21,28.1,legacy_budget;previous_experiment_grid
12,0.05,0.001,143,7,14.15,legacy_budget;previous_experiment_grid
12,0.05,0.0001,143,14,21.15,legacy_budget;previous_experiment_grid
12,0.05,1e-05,143,21,28.15,legacy_budget;previous_experiment_grid
12,0.05,0.001,249,7,19.450000000000003,previous_experiment_grid;previous_online_switch_budget
12,0.05,0.0001,249,14,26.450000000000003,previous_experiment_grid;previous_online_switch_budget
12,0.05,1e-05,249,21,33.45,previous_experiment_grid;previous_online_switch_budget
12,0.05,0.001,253,7,19.65,legacy_budget;previous_experiment_grid
12,0.05,0.0001,253,14,26.65,legacy_budget;previous_experiment_grid
12,0.05,1e-05,253,21,33.65,legacy_budget;previous_experiment_grid
12,0.05,0.001,254,7,19.700000000000003,legacy_budget;previous_experiment_grid
12,0.05,0.0001,254,14,26.700000000000003,legacy_budget;previous_experiment_grid
12,0.05,1e-05,254,21,33.7,legacy_budget;previous_experiment_grid
12,0.05,0.001,256,7,19.8,power_of_two;legacy_budget;previous_experiment_grid
12,0.05,0.0001,256,14,26.8,power_of_two;legacy_budget;previous_experiment_grid
12,0.05,1e-05,256,21,33.8,power_of_two;legacy_budget;previous_experiment_grid
12,0.05,0.001,269,7,20.450000000000003,previous_experiment_grid;previous_online_switch_budget
12,0.05,0.0001,269,14,27.450000000000003,previous_experiment_grid;previous_online_switch_budget
12,0.05,1e-05,269,21,34.45,previous_experiment_grid;previous_online_switch_budget
12,0.05,0.001,310,7,22.5,previous_experiment_grid;previous_online_switch_budget
12,0.05,0.0001,310,14,29.5,previous_experiment_grid;previous_online_switch_budget
12,0.05,1e-05,310,21,36.5,previous_experiment_grid;previous_online_switch_budget
12,0.05,0.001,450,7,29.5,legacy_budget;previous_experiment_grid
12,0.05,0.0001,450,14,36.5,legacy_budget;previous_experiment_grid
12,0.05,1e-05,450,21,43.5,legacy_budget;previous_experiment_grid
12,0.05,0.001,451,7,29.55,legacy_budget;previous_experiment_grid
12,0.05,0.0001,451,14,36.55,legacy_budget;previous_experiment_grid
12,0.05,1e-05,451,21,43.55,legacy_budget;previous_experiment_grid
12,0.05,0.001,512,7,32.6,power_of_two;legacy_budget;previous_experiment_grid
12,0.05,0.0001,512,14,39.6,power_of_two;legacy_budget;previous_experiment_grid
12,0.05,1e-05,512,21,46.6,power_of_two;legacy_budget;previous_experiment_grid
