seed,r_requested,r_actual,n_low,epsilon,K1,K2_gap,cost,direct_cost,cost_over_direct,target_reached,hf_iterations_run,warm_gap,warm_distance,transfer_distance_bound,L1,L2,mu,R1,R2,Delta,K1_continuous,K1_selected,comparison_complete
12,0.050000000000000003,0.050000000000000003,5500,0.001,64,3,6.2000000000000002,14,0.44285714285714289,1,16,0.0029783679801136387,0.20973577539078697,0.55557611865840673,1.0634364129648615,1.0481290031906361,0.01,1.0737776571358963,1.0785891330868336,0.20954102300390831,142.40532932527589,142,1
12,0.050000000000000003,0.050000000000000003,5500,0.001,128,3,9.4000000000000004,14,0.67142857142857149,1,16,0.0029818325748540708,0.20985983571847527,0.38255857083115752,1.0634364129648615,1.0481290031906361,0.01,1.0737776571358963,1.0785891330868336,0.20954102300390831,142.40532932527589,142,1
12,0.050000000000000003,0.050000000000000003,5500,0.001,142,3,10.100000000000001,14,0.72142857142857153,1,16,0.0029820045762346536,0.20995620248009536,0.36550050273551327,1.0634364129648615,1.0481290031906361,0.01,1.0737776571358963,1.0785891330868336,0.20954102300390831,142.40532932527589,142,1
12,0.050000000000000003,0.050000000000000003,5500,0.001,143,3,10.15,14,0.72499999999999998,1,16,0.0029814453998563417,0.20985373480222699,0.36440987700312438,1.0634364129648615,1.0481290031906361,0.01,1.0737776571358963,1.0785891330868336,0.20954102300390831,142.40532932527589,142,1
12,0.050000000000000003,0.050000000000000003,5500,0.001,253,3,15.65,14,1.1178571428571429,1,16,0.002980199262413219,0.20958816191931462,0.29707559265563915,1.0634364129648615,1.0481290031906361,0.01,1.0737776571358963,1.0785891330868336,0.20954102300390831,142.40532932527589,142,1
12,0.050000000000000003,0.050000000000000003,5500,0.001,254,3,15.700000000000001,14,1.1214285714285714,1,16,0.002980242464097449,0.2095962917807849,0.2967309683656717,1.0634364129648615,1.0481290031906361,0.01,1.0737776571358963,1.0785891330868336,0.20954102300390831,142.40532932527589,142,1
12,0.050000000000000003,0.050000000000000003,5500,0.001,256,3,15.800000000000001,14,1.1285714285714286,1,16,0.0029803027826178496,0.20960761575962625,0.29604979691753291,1.0634364129648615,1.0481290031906361,0.01,1.0737776571358963,1.0785891330868336,0.20954102300390831,142.40532932527589,142,1
12,0.050000000000000003,0.050000000000000003,5500,0.001,450,3,25.5,14,1.8214285714285714,1,16,0.0029799490487862901,0.20953960238246691,0.2587549032747703,1.0634364129648615,1.0481290031906361,0.01,1.0737776571358963,1.0785891330868336,0.20954102300390831,142.40532932527589,142,1
12,0.050000000000000003,0.050000000000000003,5500,0.001,451,3,25.550000000000001,14,1.825,1,16,0.0029799513125400301,0.20954005120636537,0.25864578158902563,1.0634364129648615,1.0481290031906361,0.01,1.0737776571358963,1.0785891330868336,0.20954102300390831,142.40532932527589,142,1
12,0.050000000000000003,0.050000000000000003,5500,0.001,512,3,28.600000000000001,14,2.0428571428571431,1,16,0.0029799585173795329,0.20954147463573769,0.25279540996072059,1.0634364129648615,1.0481290031906361,0.01,1.0737776571358963,1.0785891330868336,0.20954102300390831,142.40532932527589,142,1
12,0.050000000000000003,0.050000000000000003,5500,0.0001,0,20,20,20,1,1,40,0.046806446546994396,1.0785891330868336,1.0785891330868336,1.0634364129648615,1.0481290031906361,0.01,1.0737776571358963,1.0785891330868336,0.20954102300390831,253.23646501895013,254,1
12,0.050000000000000003,0.050000000000000003,5500,0.0001,1,20,20.050000000000001,20,1.0024999999999999,1,40,0.033333024433843006,0.99228409822999419,22.355787144891806,1.0634364129648615,1.0481290031906361,0.01,1.0737776571358963,1.0785891330868336,0.20954102300390831,253.23646501895013,254,1
12,0.050000000000000003,0.050000000000000003,5500,0.0001,2,20,20.100000000000001,20,1.0050000000000001,1,40,0.02639348675277331,0.92661276472952314,11.282664083947857,1.0634364129648615,1.0481290031906361,0.01,1.0737776571358963,1.0785891330868336,0.20954102300390831,253.23646501895013,254,1
